IDtrajet,Ville de Départ,Ville d'arrivée,A partir du,Jusqu'au,Départ_Latitude,Départ_Longitude,Arrivé_Latitude,Arrivé_Longitude
735855,Loudeac (FR22),Montauban-de-bretagne (FR35),15/03/2024 à 14:00 Rdv 14:00-16:00,15/03/2024 à 17:00,48.1762534,-2.7535644,48.1998838,-2.0462319
735450,Ambérieu-en-bugey (FR01),Montbonnot saint martin (FR38),01/04/2024 à 09:20,01/04/2024 à 15:00 Rdv 13:00-15:00,45.9584309,5.3595099,45.2264498,5.80266
736287,Quincieux (FR69),Montceau-les-mines (FR71),18/03/2024 à 09:35,18/03/2024 à 12:00 Rdv 10:00-12:00,45.90900965105747,4.762067991264464,46.6740455,4.3631681
735631,Saint-laurent-sur-sèvre (FR85),Montoir-de-bretagne (FR44),25/03/2024 à 11:30,25/03/2024 à 15:00,46.9597454,-0.8888005,47.3285909,-2.1543171
736306,Cenon (FR33),Montpellier (FR34),19/03/2024 à 09:00 Rdv 9:00-10:00,19/03/2024 à 17:00 Rdv 16:00-17:00,44.8552882,-0.5239863,43.6112422,3.8767337
736121,Miramas (FR13),Montpellier (FR34),18/03/2024 à 08:30,18/03/2024 à 13:30 Rdv 11:30-13:30,43.582733,5.0025809,43.6112422,3.8767337
736411,Donzère (FR26),Montélimar (FR26),12/03/2024 à 12:00,14/03/2024 à 15:30,44.4442014,4.7073439,44.5579391,4.750318
736390,Wijnegem (BE21),Mortsel (BE26),15/03/2024 à 10:00 Rdv 10:00-11:00,15/03/2024 à 13:15 Rdv 12:15-13:15,51.2270761,4.5225318,51.1704119,4.4566996
736005,Valbonne (FR06),Mougins (FR06),19/03/2024 à 14:45 Rdv 14:45-16:00,19/03/2024 à 18:30,43.641141,7.0086255,43.6008898,6.9963543
735527,Saint-ail (FR54),Mulhouse (FR68),18/03/2024 à 08:15,18/03/2024 à 14:30,49.1808501,5.9960901,47.7467233,7.3389937
736148,Saint-ail (FR54),Mulhouse (FR68),25/03/2024 à 08:15,25/03/2024 à 12:00,49.1808501,5.9960901,47.7467233,7.3389937
735932,Le bouscat (FR33),Mérignac (FR33),26/03/2024 à 09:00,26/03/2024 à 12:00 Rdv 10:00-12:00,44.8661755,-0.5992399,44.842168,-0.6469022
736293,Marckolsheim (FR67),Nancy (FR54),18/03/2024 à 12:00,18/03/2024 à 16:00 Rdv 14:00-16:00,48.165441,7.5444161,48.6937223,6.1834097
735566,Montoir-de-bretagne (FR44),Nantes (FR44),18/03/2024 à 08:30,18/03/2024 à 12:00 Rdv 10:00-12:00,47.3285909,-2.1543171,47.2186371,-1.5541362
736473,Saint-étienne-de-montluc (FR44),Nantes (FR44),22/03/2024 à 09:00 Rdv 9:00-11:00,22/03/2024 à 12:00,47.2739351,-1.7810546,47.2186371,-1.5541362
735791,Le castellet (FR83),Nice (FR06),20/03/2024 à 13:00 Rdv 13:00-15:00,20/03/2024 à 18:30,,,43.7009358,7.2683912
736002,Sainte-anne-sur-brivet (FR44),Niort (FR79),20/03/2024 à 11:00 Rdv 11:00-12:00,20/03/2024 à 16:00 Rdv 15:00-16:00,47.4596949,-2.005667,46.3239233,-0.4646064
736066,Sautron (FR44),Niort (FR79),21/03/2024 à 11:00 Rdv 11:00-12:00,21/03/2024 à 16:00 Rdv 15:00-16:00,47.2632611,-1.6683537,46.3239233,-0.4646064
736053,Saint-méen-le-grand (FR35),Niort (FR79),19/03/2024 à 14:00 Rdv 14:00-15:00,20/03/2024 à 10:15 Rdv 9:15-10:15,48.1894709,-2.1911338,46.3239233,-0.4646064
736427,Fouras (FR17),Niort (FR79),18/03/2024 à 11:30 Rdv 11:30-12:30,18/03/2024 à 16:15 Rdv 15:15-16:15,45.9883689,-1.0935837,46.3239233,-0.4646064
735665,La roche-sur-yon (FR85),Niort (FR79),18/03/2024 à 11:00 Rdv 11:00-12:00,18/03/2024 à 16:00 Rdv 15:00-16:00,46.6705431,-1.4269698,46.3239233,-0.4646064
736385,Santiago de compostela (ES15),Oviedo (ES33),14/03/2024 à 09:00,14/03/2024 à 16:30,42.8804219,-8.5458608,43.3618625,-5.8483581
731388,Corbas (FR69),Paris (FR75),21/03/2024 à 08:30,21/03/2024 à 16:00 Rdv 14:00-16:00,45.6662663,4.9015205,48.8534951,2.3483915
736298,Loeches (ES28),Ponte caldelas (ES36),15/03/2024 à 09:00,15/03/2024 à 18:00 Rdv 16:00-18:00,40.3837901,-3.4092281,42.3887558,-8.5022999
736048,Nice (FR06),Puyloubier (FR13),25/03/2024 à 08:00 Rdv 8:00-9:00,25/03/2024 à 14:00 Rdv 12:00-14:00,43.7009358,7.2683912,43.5259569,5.6746188
734657,Boulogne-sur-mer (FR62),Péronne (FR80),14/03/2024 à 15:00,14/03/2024 à 17:00 Rdv 15:00-17:00,50.7259985,1.6118771,49.9289578,2.9321899
734214,Valenton (FR94),Quimper (FR29),19/03/2024 à 10:00 Rdv 10:00-15:00,20/03/2024 à 16:00 Rdv 14:00-16:00,48.7443189,2.4699741,47.9960325,-4.1024782
734367,Villevêque (FR49),Quimper (FR29),20/03/2024 à 08:30,20/03/2024 à 16:00 Rdv 14:00-16:00,47.5601026,-0.4230772,47.9960325,-4.1024782
735784,Chartres-de-bretagne (FR35),Rennes (FR35),14/03/2024 à 08:30,14/03/2024 à 13:00 Rdv 11:00-13:00,48.0432406,-1.7082369,48.1113387,-1.6800198
