IDtrajet,Tags,Ville de Départ,Ville d'arrivée,A partir du,Jusqu'au,Client,Véhicule,Distance / Durée,Devis,Prix,Actions,Départ_Pays,Départ_Latitude,Départ_Longitude,Arrivé_Pays,Arrivé_Latitude,Arrivé_Longitude
734203,aller,Wavrin (FR59),Nantes (FR44),19/03/2024 à 10:00 Rdv 10:00-15:00,20/03/2024 à 11:00 Rdv 9:00-11:00,ARVAL RESTITUTION,BerlineThermique,595 km06h00,6+,~ 90€ PRESTATION,Accéder,BE20),50.570559,2.932545,,47.2186371,-1.5541362
734201,aller,Wavrin (FR59),Nantes (FR44),19/03/2024 à 10:00 Rdv 10:00-15:00,20/03/2024 à 11:00 Rdv 9:00-11:00,ARVAL RESTITUTION,BerlineThermique,595 km06h00,6+,~ 90€ PRESTATION,Accéder,BE85),50.570559,2.932545,,47.2186371,-1.5541362
734186,aller,Castelnau-d'estrétefonds (FR31),Toulouse (FR31),15/03/2024 à 09:00,15/03/2024 à 12:00 Rdv 10:00-12:00,ARVAL RESTITUTION,BerlineThermique,27 km00h45,6+,~ 26€ PRESTATION,Accéder,FR94),43.78251,1.3590892,,43.6044622,1.4442469
734172,aller,Valenton (FR94),Caen (FR14),13/03/2024 à 08:30,13/03/2024 à 13:00 Rdv 11:00-13:00,ARVAL RESTITUTION,SuvThermique,257 km02h45,6+,~ 56€ PRESTATION,Accéder,FR75),48.7443189,2.4699741,,49.1813403,-0.3635615
734170,aller,Miramas (FR13),Saint-clément-de-rivière (FR34),12/03/2024 à 09:00,12/03/2024 à 12:00 Rdv 10:00-12:00,ARVAL RESTITUTION,BerlineThermique,119 km01h30,03-mai,~ 42€ PRESTATION,Accéder,FR75),43.582733,5.0025809,,43.6843999,3.8466598
734167,aller,Miramas (FR13),Nice (FR06),18/03/2024 à 10:00,18/03/2024 à 16:00 Rdv 14:00-16:00,ARVAL RESTITUTION,BerlineThermique,221 km02h30,6+,~ 52€ PRESTATION,Accéder,FR75),43.582733,5.0025809,,43.7009358,7.2683912
734142,aller,Valenton (FR94),Cherbourg (FR50),12/03/2024 à 09:00,12/03/2024 à 16:00 Rdv 14:00-16:00,ARVAL RESTITUTION,12m3Thermique,379 km04h00,0-2,~ 68€ PRESTATION,Accéder,FR36),48.7443189,2.4699741,,49.6425343,-1.6249565
734114,aller,Castelnau-d'estrétefonds (FR31),Poitiers (FR86),14/03/2024 à 09:00,14/03/2024 à 16:00 Rdv 14:00-16:00,ARVAL RESTITUTION,CitadineThermique,472 km04h30,6+,~ 78€ PRESTATION,Accéder,FR33),43.78251,1.3590892,,46.5802596,0.340196
734102,aller,Castelnau-d'estrétefonds (FR31),La rochelle (FR17),14/03/2024 à 08:00,14/03/2024 à 16:00 Rdv 14:00-16:00,ARVAL RESTITUTION,CitadineThermique,403 km03h45,6+,~ 71€ PRESTATION,Accéder,FR34),43.78251,1.3590892,,46.1591126,-1.1520434
734096,aller,Miramas (FR13),Nice (FR06),18/03/2024 à 10:00,18/03/2024 à 16:00 Rdv 14:00-16:00,ARVAL RESTITUTION,8m3Thermique,221 km02h30,0-2,~ 52€ PRESTATION,Accéder,FR33),43.582733,5.0025809,,43.7009358,7.2683912
